index,Ticker,Date,Open,Close,Volume,quarter,Asset Turnover,Current Ratio,Days Sales In Receivables,Debt/Equity Ratio,Gross Margin,Inventory Turnover Ratio,Long-term Debt / Capital,Net Profit Margin,Operating Margin,ROE - Return On Equity,Receiveable Turnover,Return On Tangible Equity,Days,MA50,MA200,Crossover,Profitable,%Change,Ticker_encoded
318,A,7/6/2006,19.4,19.6,2054200,3,0.1603,2.5128,61.9613,0.3956,55.3672,0.7844,0.2834,18.3212,14.6893,5.6962,1.4525,6.5237,461,21.499,21.51925,-1,0,0,0.55
413,A,11/17/2006,22,22.19,3484900,4,0.1802,2.5735,46.8976,0.4112,54.8946,0.9553,0.2914,11.2199,11.2199,3.4539,1.9191,3.9623,595,21.0246,21.0064,1,1,1.937809824,0.55
685,A,12/19/2007,23.08,23.34,3035600,4,0.1914,2.2075,45.7469,0.6453,54.6335,1.0202,0.3922,12.4481,13.1397,5.5659,1.9673,7.2058,992,24.026,24.04805,-1,1,2.913453299,0.55
815,A,6/26/2008,24.04,23.47,3817200,2,0.1897,1.7034,48.8942,0.7522,55.4258,0.9629,0.1646,11.8819,13.1181,5.4816,1.8407,7.5579,1182,22.7158,22.6773,1,1,3.664252237,0.55
885,A,10/6/2008,18.28,17.75,6326300,4,0.2114,2.3925,46.7927,0.8304,56.0432,1.0077,0.4537,15.5976,17.0155,9.027,1.9234,13.7092,1284,21.9852,22.06485,-1,1,29.18309859,0.55
1154,A,10/29/2010,22.89,22.88,2703500,4,0.1625,2.001,49.6256,1.1406,52.9188,1.0363,0.4036,18.5279,12.8807,9.0235,1.8136,22.7061,298,20.714,20.712,1,1,11.18881119,0.55
1360,A,8/24/2011,20.95,21.75,7933300,3,0.1932,3.4704,48.8054,0.5162,52.7499,0.8907,0.3405,19.5151,16.6174,7.8571,1.8441,15.2919,597,28.4998,28.676,-1,0,0,0.55
1487,A,2/27/2012,28.08,28.5,2871300,1,0.1797,3.3519,44.8073,0.4848,53.4557,0.8122,0.3001,14.0673,16.5749,5.1122,2.0086,9.2481,784,26.3824,26.32635,1,0,0,0.55
1584,A,7/16/2012,24.33,24.33,2448400,3,0.1766,2.0148,49.6228,0.4543,51.6541,0.8041,0.2602,14.1033,15.6703,4.9867,1.8137,28.9976,924,25.929,25.96645,-1,0,0,0.55
1708,A,1/14/2013,28.84,28.91,3229100,1,0.1577,2.5525,46.8214,0.4412,52.381,0.7692,0.2829,10.6548,12.9167,3.3452,1.9222,14.7812,1106,26.0028,25.94795,1,0,0,0.55
2152,A,7/20/2015,38.12,38.12,1155200,3,0.1398,4.0774,51.8343,0.4031,50.5917,0.9193,0.2873,10.9468,14.2012,2.7521,1.7363,8.9968,292,38.5506,38.5523,-1,1,9.365162644,0.55
2265,A,12/29/2015,40.16,40.42,1757000,4,0.1384,3.7766,52.6957,0.3969,51.6908,0.9242,0.2841,13.5266,15.0725,3.3573,1.7079,10.3017,454,37.5448,37.5132,1,0,0,0.55
2306,A,2/29/2016,35.97,35.74,2187500,1,0.1408,3.5892,54.0175,0.4281,52.2374,0.8863,0.2899,11.7704,15.0778,2.9891,1.6661,11.4475,516,36.6682,36.7062,-1,0,0,0.55
2332,A,4/6/2016,37.71,38.62,1566600,2,0.1334,3.0786,53.1698,0.4535,52.0118,0.8811,0.2842,8.9303,12.8557,2.1849,1.6927,8.1323,553,36.5414,36.53615,1,1,10.12428793,0.55
2867,A,5/21/2018,63.35,64.13,4527300,2,0.1373,3.315,56.2687,0.4581,53.3168,0.9478,0.2805,16.9983,17.4129,4.4401,1.5995,12.1662,1328,65.5686,65.58075,-1,1,6.330890379,0.55
2958,A,9/28/2018,69.32,69.18,2248100,3,0.1441,3.6164,54.8379,0.3938,54.7797,0.8732,0.2826,19.6176,18.3707,5.1664,1.6412,21.0714,1458,65.7618,65.6709,1,0,0,0.55
3152,A,7/10/2019,72.8,72.59,1785200,3,0.1477,2.1313,60.471,0.3788,54.3171,0.8818,0.2142,14.9922,17.6609,4.0236,1.4883,16.9176,1743,71.3038,71.34365,-1,1,1.598016256,0.55
3227,A,10/24/2019,74.39,74.36,1475100,4,0.1446,1.5332,61.229,0.507,53.9137,0.9278,0.2739,14.1917,18.2882,4.0859,1.4699,404.167,1849,73.4626,73.3885,1,1,9.615384615,0.55
3342,A,4/9/2020,76.13,78.03,2399900,2,0.1309,1.6303,64.4103,0.5218,53.0695,0.7747,0.2727,8.1583,8.2391,2.1183,1.3973,38.1132,2017,76.1844,76.2124,-1,0,0,0.55
3380,A,6/4/2020,89.47,90.79,2227500,2,0.1309,1.6303,64.4103,0.5218,53.0695,0.7747,0.2727,8.1583,8.2391,2.1183,1.3973,38.1132,2073,78.3892,78.19005,1,1,3.755920256,0.55
7066,AAP,4/19/2006,36.75,36.79,1213900,2,0.4224,1.2811,7.1013,0.5023,47.6017,0.4051,0.2962,5.6809,9.9693,6.7449,12.6737,7.2684,383,39.292,39.33885,-1,1,2.419135635,0.47826087
7226,AAP,12/5/2006,33.53,33.67,2000100,4,0.3788,1.4478,8.5953,0.4961,47.0827,0.3675,0.3164,3.4792,6.3066,3.4296,10.4708,3.6477,613,33.9498,33.92935,1,1,4.573804574,0.47826087
7401,AAP,8/17/2007,30.14,30.19,1891500,3,0.4186,1.3884,5.9828,0.4081,47.9354,0.3913,0.2893,5.0983,8.668,5.5416,15.043,5.8771,868,36.176,36.30435,-1,0,0,0.47826087
